tieng_viet,tieng_tay
mắt,tha
mặt,nả
bụng,mốc
bụng dưới,toọng nọi
đầu,thua
trán,phjác
thái dương,thua lồm
tóc,phjôm
tai,xu
mũi,đăng
mũi tẹt,pắp đăng
vành tai,pỉn xu
miệng,pác
mồm,pác
cằm,cắp càng
lông mày,khuân chàu 
chân mày,khuân chàu 
lưỡi,lỉn
răng,khẻo
nướu,hước
mí mắt,pín tha
lông mi,khuân tha
môi,pín pác
cổ,khò
tay,mừ
bàn tay,fả mừ
bắp tay,pi mừ
ngón tay,nịu mừ
ngón cái,nịu mẻ
ngón út,nịu hỏi
vân tay,lài mừ
hoa tay,lài mừ
hoa tay tốt,lài mừ đây
khuỷu tay,cỏng sloóc
lưng,lăng
ngực,ắc
trước ngực,nả ấc
vú,mắn nồm
xương,đúc
xương sườn,đúc xang
xương chậu,đúc cúm
da,năng
thịt,nựa
chân,kha
bắp đùi,pi kha
bắp chân,pi kha
đầu gối,khau
cẳng chân,kjẻng kha
gót chân,sâm
bàn chân,phả kha
ngón chân,nịu kha
lông,khuân
eo,khiảng bang
rốn,đúng đỉ
mông,quẩn
tim,slim tàu
trái tim,slim tàu
gan,rắp
ruột,sẩy
lá lách,mạm
phổi,pút
máu,lượt
máu mủ,lượt lài
giọt máu đào,lượt lài
hành kinh,lượt lài
máu kinh,lượt lài
tiết,lướt
răng cửa,khẻo nả
răng hàm,khẻo vài
dạ dày,toọng luông
mật,đi
lỗ,rù
móng,lịp
gáy,cò đửn
hậu môn,slù cuổn
nách,rặc rẹ
thận,mắc lùm
lồn,hi
đuôi,hang
con ngươi,lục pụt
chân lông,tin khôn
tàn nhang,tốc mèng mặt
