tieng_viet,tieng_tay
ta,hây
tôi,hây
chúng ta,boong hây
mọi người,bại cần
cháu,lan
chắt,lịn
bá,bác gái
bác,bảc
bác trai,bảc
bác gái,pả
đến,mà
mẹ,me
bố,po
ông,pú
ông nội,pú
ông ngoại,ta
bà,dà
bà nội,mé
bà ngoại,tái
bà góa,da mải
chú,chủ
thím,a lùa
cô,a
dượng,sượng
cậu,khủ
mợ,mử
dì,nạ
anh em,pì noọng
bà con,pì noọng
em,noọng
trai,chài
gái,slao
người,cần
người bạn,cần pằng dạu
nhiều người,cần men
vợ,lùa
chồng,khươi
anh,pì
anh trai,pi chài
chị,pì slao
chị gái,pì slao
con non,eng
con cái,lục
con ruột,lục đeng
con nuôi,lục liệng
con dâu,lùa
con rể,khươi
con ít,lục hang hỏi
con cuối,lục hang hỏi
thầy mo,lảo thao
cụ,sựa
bé,eng
nhỏ,ỉ
già,ké
trẻ,ón
trẻ con,tua đếch
đứa trẻ,tua đếch
non,ón
cô dâu,me lùa
thiếu nữ,slao nóm
tổ tiên,cống chỏ
thằng,hò
chàng,quan
giặc,slấc
nó,te
ăn cướp,hết cướp
kẻ cướp,hết cướp
người bán,cần khai
người kinh,cần keo
người ngoài,cần bưởng noọc
người quê ta,cần ti lầu
