tieng_viet,tieng_tay
núi,phja
núi trập trùng,phja típ phja
rừng,khau
đất,tôm
đất xốp,tôm bông
đất sét,tôm đeng
bùn,ra
mặt trời,tha vằn
chân trời,tin phạ
trăng,hai
mặt trăng,tha hai
vườn,ruôn
đá,hin
cục đá,cộc hin
ruộng,nà
rẫy,rây
nương,rây
nước,nặm
nước lạnh,nặm cắt
lửa,fay
bật lửa,phặt fay
cái bật lửa,phặt fay
ma,phi
ma trơi,fay phi
khói,vằn
bạc,ngần
tiền,ngần
tiền bạc,ngần chèn
rơi,tốc
mây,mền phạ
dòng,kha
sông,tả
suối,khuổi
ao,phai
xoáy nước,voằng nặm
thác nước,voằng nặm tốc
nước nóng,nặng phjôm
sôi,phjật
mạch nước,bó nặm
rượu,lẩu
giếng,bó
đèo,kéo
dấm,mí
trà,xà
đường ăn,thương
nước đường,nặm thương
muối,cưa
mỡ,pjì
chấm,chẳm
mắm,bẳm
cứt,khỉ
phân,khỉ
cây,mạy
chợ,háng
nhà,rườn
nhà sàn,rườn
cửa,tu
hạt,mặt
bó,căm
mạ,chả
củi,phjừn
bó củi,béc phjừn
bánh,pjẻng
bánh rán,pjẻng chao
bánh cuốn,pjẻng cuổn
bánh nướng,pjẻng hai
bánh tẻ,pjẻng te
bánh gạo tẻ,pjẻng te
bánh ú,pjẻng tải
bánh gai,pjẻng tải
bánh sắn,pjẻng mằn
bánh khảo,pjẻng cao
bánh tro,pjẻng đắng
bánh trôi,phù noòng
bánh chưng,pjẻng chưng
bánh bò,pjẻng pút
bánh trà lam,pẻng kinh
bột gạo,bưa khẩu
cám,rjằm
cám gạo,rjằm khẩu
lũng,lủng
cái chum,cang
dao,pjạ
dao sắc,pjạ cồm
dao găm,xảo xính
sữa,nồm
giường,chường
ống thóc,khẩu coóc
cửa hàng,rườn hàng
cái ô,cưởng
chảo,héc
chảo xào rau,héc phjắc
chảo to,héc vài
gác sào,các slảo
sợi cói,khon fục
ruộng cói,nà fục
thửa ruộng,lâư nà
kính,nhạn khỉnh
kính mắt,nhạn khỉnh
đường,tàng
đường xá,tàng
trên đường,hang tàng
trong lòng,mốc phông
bể,pé
hang,tham
hang động,tham
hang lớn,tham luông
chậu,pừn
chậu thau,pừn toòng
cống,to
cái váy,quen
áo,slửa
quần áo,slửa khóa
trang phục,slửa khóa
trứng,xáy
trứng ung,xáy còn
trứng non,xáy fạng 
hàng rào,rược
trống,tổng
cổng,tu ảng
mũ,tù
thư tình,foong slư
biển,hải
mào,hon
đám,đảm
cánh đồng,tông nà
đồng lúa,tông nà
cái muôi,quại
gác bếp,xá
lan can,xa làn
bao tải,xác
bao tải gạo,xác khẩu slan
con quay,xáng
mạng nhện,rằng xao
tơ nhện,dầư xao
cái rọ,ràm
cái rọ mõm,ràm
chén,răm
ổ,rằng
tổ,rằng
thắt lưng,rặng
mái hiên,cai
kim chỉ,khêm
mũi chỉ,càm khêm
cửa ngõ,cạm
bát,pát
dốc,lính
hạch,lục nu
của cải,au cúa
vàng,kim
vách đá,đán
tã,ỏm
tã lót,ỏm
quê hương,bản cỏn
đất nước,nặm mường
xứ sở,nặm mường
thiên nhiên,ti da
môi trường,ti da
nghĩa địa,ti fằn
địa phương,ti fuông
chỗ ngồi,ti năng
giọng,tiểng
quả cân,tò chăng
đoạn thẳng,ton dàu
đũa,thú
đôi đũa,tôi thú
lều,thiêng
rầm,tông
đuốc,tuẩy
cái cưa,tuôn
vũng nước,tuống nặm
nhà trường,rườn tường
