tieng_viet,tieng_tay
ngô,tấy
lúa,khẩu
cơm,khẩu
cơm mới,khẩu mấư
cốm,khẩu mác
thóc,khẩu
lúa,khẩu
lúa gạo,khẩu nặm
gạo,khẩu
tẻ,chăm
nếp,nua
hoa,bjóc
lá,toong
rau,phjắc
rau muống,phjắc bủng
quả,mác
quả vải,mác pái
bưởi,pục
quả dọc,mác bao
quả trám, mác cưởm
trám đen,bây
cà chua,chẻ
chanh,cheng
hồng hột,chí
quả hồng,mác chí
quả sấu,mác chủ
lê dại,cọt
lê,lì
trám trắng,cưởm
quả cật,mác diêu
quả giâu gia,mác fầy
nho,ít
gấc,khẩu
mướp đắng,khấy
cà tím,khưa
hạt dẻ,mác lì
mồ hôi,hứa
mận,mặn
muỗm,muông
tre,phấy
cỏ,nhả
cỏ may,nhả khoác
cỏ gấu,nhả chông mu
cỏ bái,nhả dầy
cỏ kẻ,nhả khắt mẳn
cỏ rác,nhả nhùng
đám cỏ,cừa
thuốc,dà
thuốc nam,dà nam
thuốc bắc,dà thó
thuộc độc,dà tặm
đu đủ,đu đủ
chuối,cuổi
cây trinh nữ,nhả nả nhẻn
cây xấu hổ,hả nả nhẻn
cây ngải cứu,nhả ngai
dưa,qua
dưa gang,qua khao
thanh thảo,sleng slảo
khế,fường
cây nêu,hoa nèo
rau tía tô,hom đeng
rau húng,hom hủ
râm bụt,ve
ổi,ội
khoai lang,mằn bủng
củ đậu,mằn cát
củ từ,mằn ỏn
củ sắn,mằn slẳn
mẫu đơn,mậu đàn
củ cải,lào fặc
giống cây,
hạt giống,
hạt mầm
hạt lạc,thúa đin
mầm giống,ngát
mầm,ngát
hạt giống,ngát
rễ,lạc
đinh hương,teng hom
hoa lá,bjoóc bâư
