tieng_viet,tieng_tay
vui,hôn
vui vẻ,hôn hỉ
vui sướng,hôn dùng
vui mừng,hôn dùng
hạnh phúc,hôn dùng
thoải mái,hôn dùng
nóng lòng,mốc rjẩy rjằn
nóng mặt,nả pjôm
chóng mặt,lài tha
đau đầu,thua tót
hoa mắt,tha lài
mù,bjót
đau,chếp
ù tai,xu vjính
điếc tai,xu nuốc
ngáp,háo lồm
ngáp ngủ,mầu nòn
tê,mjửn
tê chân,kha mjửn
buồn ngủ,mốc nòn
buồn bã,puồn pản
buồn tẻ,puồn pản
buồn phiền,puồn nàn
khó ngủ,nòn khỏ
ngủ say,nòn đắc nòn
tỉnh giấc,thjẻo đua
tỉnh dậy,thjẻo đua
nằm mơ,phjân cừn
câm,vặm
câm mồm,pjác oôm re
đứng,dặng
đứng im,chẳng từ
ngẩn người,chẳng từ
im mồm,pjác oôm re
im ắng,quẹng rực
im bặt,quẹng rực
im phắc,quẹng xích
im phăng phắc,quẹng xích
thính tai,su rỉnh
tai thính,su rỉnh
mắt tinh,tha rỉnh
tinh mắt,tha rỉnh
run,rjằn
run rẩy,rjằn roọc
quên,lồm
vắng,quẹng
vắng vẻ,quẹng xích
vắng ngắt,quẹng thếnh
đơn côi,đang đeo
đơn độc,đang đeo
một mình,đang đeo
cô đơn,đang thân
đông đúc,đông nhào
nhộn nhịp,đông nhào
tự hào,đăng boỏng
trọng vọng,đăng boỏng
ngạo mạn,ươn châư
trang nghiêm,đăng boỏng
kiêu hãnh,đăng boỏng
hài lòng,ngám cồ
dài,rì
ngắn,tển
ngắn ngủn,tển tét
dài ngoằng,rì roảng
một gang,cháp đều
to,cải
to đùng,cải coọc
to tướng,cải kếch
to lớn,cải luông
đồ sộ,cải luông
lớn lao,cải luông
nhỏ,ráy
nhỏ xíu,ráy rít
mỏng,bang
mỏng dính,bang bíp
mỏng manh,bang bính
mỏng tanh,bang bính
mỏng mảnh,bang bjém
phong phanh,bang bjém
rộng,quảng
rộng lớn,quảng hát
rộng mênh mông,quảng xác
mênh mông,lin lin
bát ngát,quảng thếnh
rộng bát ngát,quảng thếnh
rộng thênh thang,quảng thếnh
hẹp,cjặp
rất hẹp,cjặp kẹp
thấp,tắm
cao,rung
cao chót vót,rung wuýt
rất cao,rung wuýt
cao vút,rung wuýt
cao vổng,rung ngống
cong,kho
thẳng,dàu
thẳng đuột,dàu dít
cong queo,quột kjẻo
lép,phjẹp
lép kẹp,phjẹp léng
một mẩu,mjửn đều
tròn,mần
tròn vo,mần léng
chết,thai
muốn chết,xa thai
chết ngoẻo,nhỉa
chết ngoẻo hết,nhỉa lẹo
tử,thai
tử vong,thai
trên,nưa
dưới,tẩư
xa,quây
gần,xẩư
thối,mên
thiu,mên
hôi,mên
hôi tanh,mên
mục,đoóc
mục nát,đoóc đéc
mục rữa,đoóc đéc
tối om,đăm ngùm
chập tối,tốc đăm
về tối,tốc đăm
hoàng hôn,tốc đăm
tối sầm,đăm rặc
ầm ĩ,từn từn
ầm ầm,từn từn
dị ứng,mác mán
thủy đậu,mác nặm
chửa,mát
có chửa,mì đang
nín thở,mặm châư
lằng nhằng,slằm slì
sặc,slắc mjặc
sức,rèng
ra sức,oóc rèng
thai,đang
khỏe,rèng
mạnh,rèng
còn khỏe,nhằng rèng
còn khỏe mạnh,nhằng rèng
khỏe mạnh,rèng
tươi,rèng
yếu,pửa
yếu ớt,pửa pát
cân tươi,chăng rèng
cứng,kheng
ngắc,cứng
thẳng yên ngựa,hảng yên mạ
khô,hẻn
cạn,bốc
đắng,khôm
đắng cay,khôm phết
đắng ngắt,khôm cắc
đắng ngòm,khôm kích
tủi thân,khôm khỏ
đau khổ,khôm khỏ
khốn khổ,cáo vá
ngấy,ngựt
thảng thốt,nhoa
rạo rực,nhoa nhoa
xót xa,xiết xa
lang thang,xiêu
xấu,róa
xấu hổ,xẩu
nhão,pướt pát
mỏi nhừ,pướt pát
mẻ,ray
sứt,vao
ướt,rằm
ướt sũng,rằm slộp
ướt nhèm,rằm rẹp
ánh,rung
sáng,rung
ánh sáng,rung
chói,chỏi
lóa,chưởn
rực,pjực
sáng sửa,rung roàng
may mắn,slải sló
chẳng may,xáng xình
không may,xáng xình
bé nhỏ,sláy slít
bé tí tẹo,sláy slít
bé tí teo,sláy slít
bẩn,slẳm
ti tiện,sliểu slướng
bần tiện,sliểu slướng
bàng hoàng,tốc châư
chột dạ,tốc châư
ra đời,tốc fạc
chào đời,tốc fạc
đẻ ra,tốc fạc
đoản mệnh,tổn minh
vấp,tủng
vướng,tủng
vướng vào,vặc
béo,uổn
mập,uổn
mê sảng,vang màng
hoảng hốt,vảng cở
hoảng sợ,tốc slóe
sợ,lao
hoảng hồn,mao minh
sợ hãi,khoăn dỏn
sợ hãi hùng,lao tốc slóe
động lòng,tòn slim
đục,vằm
chệch,vạng
trượt,vạng
phát tài,fát xài
động dục,fằng
rì rào,fè fè
đến sau,mà tốc lăng
sau cùng,tốc hang
sau chót,tốc hang
ngồi,năng
ngồi dựng đứng,tẳng năng
ngồi xó,năng cằn
gay go,hăn phi
nói nghe,cạ tinh
nói không nghe,cạ bấu tinh
khó nói,khổn phuổi
thỉnh thoảng,hâng hâng
giả vờ,hết chá
tinh nhanh,híu chảy
cừ khôi,híu chảy
hương thơm,hom hem
thơm,hom hem
thơm tho,hom hem
thơm phức,hom ngứt
thơm ngát,hom ngứt
thơm lừng,hom phứt
nhốn nháo,hộn
hổn hển,hồ hà
rụng,lấn
bị cảm,pền đang phát
truyền thống,nòi
dòng dõi,nòi
lâu dài,quây rì
sâu xa,quây rì
rừng già,đông pá
rừng sâu,đông pá
rừng đại ngàn,ngan rạ
qua loa,qua tháo
thình lình,rồm rềnh
bất thình lình,rồm rềnh
ngứa,cài coọc
ngứa ngáy,cài coọc
ráo,can
nghẹn,cạn
thiến,ton
kiêng,căm kiêm
kiêng kỵ,căm kiêm
lon ton,cắn cắn
thoăn thoắt,cắn cắn
áp bức,cắp náp
đè nén,cắp náp
giả vờ ốm,chả loóc dú khỏ
ốm,dú khỏ
ốm nặng,pền khuẩy tốc nắc
lỗi,lội
tội lỗi,lội
nhễ nhại,luây loác
nhớt,luầy
nhớp nhúa,luầy lạt
nghiêng,luối
hậm hực,péng
ghen tị,ngàm chàm
ghen ghét,ngàm chàm
thoi thóp,ngoẹp ngoẹp
cheo leo,mín mít
nản lòng,nái slim
nản chí,nái slim
giang mai,tiêm la
tin đồn,tiểng đồn
nổi tiếng,mì tiểng
chung nhau,tò cáp
dính líu,tó té
héo,tọi
đầy bụng,toọng pè
đau bụng,toọng chếp
nửa chừng,tốc pjoong
dở dang,tốc pjoong
sảy thai,tốm đang
đổ nát,tốm tác
tan tành,tốm tác
hi sinh,vẻng minh
tài,xài
phúc lộc,xài
động kinh,bả mu
đùng đùng,bồm bồm
tím bầm,cắm bức
tanh,chào
hổ lốn,chạp chủng
lẫn lộn,chạp chủng
tạp nham,chạp chủng
hỗn tạp,chạp chủng
giàu,chàu
giàu có,chàu mì
lốm đốm,chắm cháy
gặp may,chặp đây
gặp rủi,chặp rại
gặp xui,chặp rại
tầm tã,chè chè
bận,nhắng
inh ỏi,nhắng nhắng
ầm ầm,nhắng nhắng
nhọ,nhém
thẹn,nhẻn
nhung nhúc,nhúc nhúc
nhùng nhằng,nhúc nhúc
rối rắm,nhủng nhảng
khó khăn,cáo quán
thử thách,cáo quán
choáng váng,mao lượt
phập phồng,mạp mạp
vô sinh,măn
sờn,măng
phai màu,măng
mới mẻ,mấư tích
thẫn thờ,mầu muôn
nườm nượp,lượp lượp
xanh rờn,kheo lượp lượp
bị choáng,lượt khửn hua
chóng mặt,lượt khửn hua
nguệch ngoạc,lài khoài
nham nhở,lài mèo
nhem nhuốc,lài mèo
hoa hòe,lài luông
nhá nhem,lài lạng
nhập nhoạng,lài lạng
loạn lạc,lào luôn
làm quần quật,lào lộc
trôi chảy,làu
trơn tru,làu
lưu loát,làu loạt
cháy,mẩy
mùi khê,mên mẩy
mùi cháy,mên mẩy
mùi khét,mên mẩy
bị khét,mêm mẩy
mùi hôi thối,mên nâu
hôi hám,mên slổm
mùi hôi hám,mên slổm
mùi chua,mên slổm
thừa thãi,slứa slác
nhẹ,ón
nhè nhẹ,ón
ồn ào,ồm ồm
khắm,khắn
mùi khắm,khắn
nồng nặc,khắn rạt
thanh thản,slỉnh sloáng
thắng,hình
chiến thắng,hình
thành công,hình
thành quả,hình
thua,cẩy
thua cuộc,cẩy
thất bại,cẩy
sấp ngửa,khoẳm ngai
xa xăm,vẹn vẹn
xa xôi,vẹn vẹn
xa thẳm,vẹn vẹn
cằn cỗi,ót
lác đác,phú phí
se se,rẹt rẹt
tanh tách,rẹt rẹt
tán loạn,tẻ tảt
lỏng lẻo,tẹ mjẹ
ăn thua,kin thua
kiệt sức,nghiệt
oan,van
bị oan,van
bệnh sởi,than
thênh thang,thếng thếng
kín mít,thí rựp
vẩu,thích
khểnh,thích
ngộ độc
bị ngộ độc,thúc da
thích mắt,thúc tha
coi được,thúc tha
ngập,thuổm
ngập ngụa,thuổm
uốn ván,tin fung
bóng lộn,toòng tích
bóng loáng,toòng tỉu
sáng bóng,toòng tưn
bóng nhoáng,toòng tứng
lặt vặt,toóng téng
lắt nhắt,toóng téng
phạm phòng,tốc mạ
thượng mã phong,tốc mạ
sẩy thai,tốm đang
giở chứng,tộng
thúng thiếu,tủng thiểu
đặc sệt,túng lựt
thịt nhừ,nựa tư
ngây ngấy,ươn ứa
mườn mượt,ứt ứt
ngược,thất
nước ứ,nậm ắng
trùng điệp,ăng ắc
đẫy đà,ban búm
mụ mẫm,ban búm
thỏa thích,mi tao
thích thú,mi tao
mịn màng,mjền mít
mịn mà,mjền mít
phảng phất,mjút mjảng
thấp thoáng,mjút mjảng
phía trước,nả táng
túng thiếu,khỏ quả
thiếu thốn,khỏ quả
nghèo khổ,khỏ quả
nghèo khốn,khỏ quả
ngon miệng,van pác
ngọt,van
ngon,van
ngọt dịu,van dỏi
ngọt xớt,van dỏi
ngọt lịm,van dít
ngòn ngọt,van ón
chút ngọt,van ón
ngọt chút,van ón
du dương,van ón
giọng tốt,heng van
chua,slổm
chua loét,slổm chít
chua lòm,slổm phját
sướng,slưởng
sung sướng,slưởng
lung lay,khòn
thương hại,slương hải
tắc họng,đút đú
mắc họng,đút đú
chao đảo,đúng điếu
bấp bênh,đúng điếu
tròng trành,đúng đính
rất đẹp,chăn mjạc
rất chua,slổm khến
to quá,tai cải
quá to,tai cải
bồn chồn,tàn tạc
bình tĩnh,tàm tình
thưa thớt,bang
hiếm con,lục bang
nhà ít con,rườn lục bang
ít con cái,lục bang
bị bệnh,pền khẩy
chắc dạ,mốc mắn
ấm ức,móc pè
sáng dạ,mốc rung
buồn rầu,mốc slổm
thành tốp,pền mú
thành nhóm,pền mú
thành toán,pền mú
tái nhợt,mướt
tức giận,nả đăm
nhút nhát,nả bang
mặt thất sắc,nả khát
nghiêm mặt,nả khăm
tái mặt,nả khấư
đanh mặt,nả khên
đanh đá,nả khên
chùn chụt,nạc nạc
giần giật,nạch nạch
mỏi,nái
mỏi mệt,nái
nhớp nháp,nảy nượp
áy náy,nặc nèn
vang rền,nằn nờ
đằm thắm,nắt nỉu
thắm thiết,nắt nỉu
trần truồng,ngạm ngạm
cởi truồng,ngạm ngạm
khỏa thân,ngạm ngạm
bệnh hen,ngạp mèo
buồn thiu,ngạu rạu
nghi ngút,nghét nghét
lởm chởm,ngồm ngoàn
lêu nghêu,ngông ngông
ngổn ngang,ngống ngáng
nhởn nhơ,ngống ngáng
lù đù,ngu ngu
đáng tiền,pền chèn
quý giá,pền chèn
lang ben,pền đáng
hắc lào,quác đeng
lở loét,pền xang
nông,phẻn
cay,phết
cay sè,phết slạt
cay nồng,phết xắng
cay hăng,phết xắng
thèm thuồng,phi chiết
háu ăn,phi chiết
vi vút,phí phứt
rả rích,phí phjắp
tung tóe,phjằng phjằng
phẳng lì,phjêng phứt
bằng phẳng,phjêng phứt
mất tích,phjêng phom
giòn,phjói
giòn tan,phjói phjẹt
bù xù,phông rệch
thùng thình,phồng phàng
rộng thùng thình,phồng phàng
nhẹ tênh,nẩư phống
dự phòng,phứa
vật lộn,pjẳn pjoóc
xoay xở,pjẳn pjoóc
lật lọng,pjẳn pjoóc
chuột rút,pjẳn pi
lộn trái,pjẳn pjẻ
lật ngược,pjẳn pjẻ
ráo riết,rặt rịu
gấp gáp,rặt rịu
đứt hơi,slai cò khát
đứt cả hơi,slai cò khát
tan tác,slán slác
tan hoang,slán slác
nhão nhoét,pướt chạp
nứt toác,quạc quẹc
rộng rãi,quảng lít
quang đãng,quảng lít
no,ím
no nê,ím pè
no căng,ím pứng
no tức bụng,ím pè
đau buốt,kèn
khổ,khỏ
khó nghe,khốt
buồn cười,đây khua
giữa chừng,ham khoang
nửa chừng,ham khoang
lơ đãng,hấc lờ
hẩm,hậm
gầy,héo
gầy đét,héo ngánh
gầy guộc,héo ngắng
gầy còm,héo nháp
gầy nhom,héo nhỉu
chi chít,hỏi luậy
bất thường,lắt lét
thất thường,lắt lét
mịt mù,lắt lí
dày đặc,lắt lí
sâu hoắm,lậc khuỷu
thăm thẳm,lỉu lỉu
mới bừa,chắng loạt
rập rờn,nược nược
hết cữ,oóc bươn
rã rời,ón ín
mềm mại,ón múp
trẻ măng,ón nhỏi
thuộc lòng,pác bốc
rợn người,năng mền pai
rợn tóc gáy,năng mền pai
tan nát,pai pạc
bại gia,pai cha
sạt nghiệp,pai cha
phá sản,pai cha
bê bết,pải pốc
lấm láp,pải pốc
bẹt,pảm
sinh đôi,ôm pha
đổ ngổn ngang,táo tính
vênh,tạo
lùn,tắm
thấp lùn,tắm nhét
lùn tẹt,tắm nhét
lùn tịt,tắm nhít
thấp lè tè,tắm phjét
nhăn răng,tẳng khẻo
tắt thở,tặt châư
gấp khúc,tập éo
rách nát,tật tạt
bục vỡ,tật tạt
dày cộp,tâư tứt
chết toi,thai ra
thon thả,thuổi thoang
