tieng_viet,tieng_tay
không,bấu
không biết,bấu chắc
không dám,bấu đi
không được,bấu mì
kịp,lập
là,kỷ
vừa là,kỷ
mấy,lai
và,vạ
nhưng,tọ
cái gì,ca răng
những gì,ca răng
này,nảy
cái này,ăn nẩy
cái khác,ăn đai
nhớ,chứ
nhớ nhau,chứ căn
hãy,chứ
thích,nắt
được,đảy
nếu,hạy
nếu như,vảng cạ
ví như,vảng cạ
coi như,tang
thì,le
thì mình,le lầu cò
phải,le
thì phải,le
à ơi,ử hở
đợi tí,thả ý
làng,bản
yêu,điếp
anh yêu em,chài điếp noọng
em yêu anh,noọng điếp chài
lắm,lai
nhiều lắm,lai
nhiều,lai
tràn đầy,lai
đi đâu,pây hầư
đâu hết,hâư thuổn
rồi,dá
rồi đấy,dá lố
ối,rổi
ối đau,rểu chếp
trời ơi,à lôi
ôi trời ơi,à lôi
ôi,à lôi
ái chà,à lôi
có,mỳ
mới có,chắng mỳ
kính thưa,chiềng mừa
ngay,diền
ngay lập tức,făn fi
ngay tức khắc,făn fi
liền,diền
cũng,cụng
khóa,khỏa
phân chia,phân chia
đủ,đo
vừa đủ,tó lóm
làng quê,bản cỏn
từ,tứ
thường xuyên,chường slì
hãy luôn,chường slì
chà,dả
cho dù,mái cạ
dù rằng,mái cạ
dù cho,mặc cạ
mặc dù,mái cạ
vẫn đến,tố mà
kệ,mặc
mặc kệ,mặc
tùy,mặc
ra,oóc
ra mồ hôi,hứa oóc hăn
cần thiết,cẩn diếu
có lẽ,cay tố
có lẽ là,cay tố
chắc là,cay tố
bây giờ,cà này
thật,ca rại
thật thà,lạo xặt
có thật,ca rại
đừng có,ná đẩy
chớ có,ná đẩy
mấy khi,kỉ xì
ít khi,kỉ xì
thay đổi,khăm kheo
muốn,ái
chưa,xằng
chần chừ,ngựt ngư
những,nhịnh
việc,fiệc
xuống,lồng
không bao giờ,bấu lắc bát
không một lần,bấu lắc bát
sắp,tộng
một lúc,lúc nâng
sang bên cạnh,quá sảng
còn,nhằng
kia,tỉ
cuối,hang
lâu,hâng
khi nào,pưa hầư
cái nào,nghé nâư
nơi,ti
nơi nào,ti hâư
đi nào,pây lố
trong,chang
trả lại,hòi
trở lại,hòi
trở về,hòi
hồi,hòi
tí nữa,ỉ nhít
chút nữa,ỉ nhít
đáng lẽ,inh fẳn
nông thôn,kha bản
hàng xóm,kha bản
nhà quê,kha bản
ở,dú
ngoài,noọc
bên ngoài,bưởng noọc
bên cạnh,bưởng xảng
bên,sảng
cạnh,sảng
ngoài đồng,noọc tông
thảo nào,quái đảy
tết,nèn
cơn,xá
bị,mẻn
cùng nhau,xày căn
may sao,xặc lai
may mà,xặc lai
hơn,quá
tốt hơn,quá
hơn nữa,quá ỉ nhít
đến nơi,rặm rặm
trước,cón
rõ,đây
rõ ràng,ca điên
y hệt,ca điên
giống,tổng
như,tổng
giống nhau,tổng căn
giống như,tò tổng
cũng như,tò tổng
câu hỏi,cằm xam
trả lời,pjá
chẳng lẽ,cẳm cạ
chẳng lẽ là,cẳm cạ
qua,khảm
với,xáu
nhầm,lông
lẫn,lông
nhầm lẫn,lông loe
lạc,lông
chê,xì
thì chê,xì
chê bai,bè bẹo
chê nhau,che căn
đáng,tảy
đáng giá,tảy
danh dự,tha nả
xem ra,ngòi mà
hợp,hạp
chỗ,ti hâư
chỗ nào,ti hâư
nền,ti
lời,cằm
trở lên,tò chăng
trở xuống,tò khửn
chí,slim
ý chí,slim
miễn là,tọ cạ
chỉ cần,tọ cạ
thì thôi,toóng xọt
đi trước,pây tốc
đi sớm hơn,pây tốc cón
phía trên,tốc nưa
quen,tốc
bao nhiêu,kỉ lai
cũng được,tố đảy
đời,tơi
lẽ ra,pền lăng
theo nó,rèo mền
đằng sau,bưởng lăng
kể ra,cay
tính ra,cay
áng chừng,cay mà
ước lượng,cay mà
gây dựng,chao
gây dựng nên,tặt chao
sáng tác,chao
khai khẩn,chao
dìu dắt,chao
dẫn lối,chao
gì cả,lăng chạy
thấm thoát,nhắc nhỏi
có một,mì nghé
vì,nhoòng
tại,nhoòng
tại vì,nhoòng
vì thế,nhoòng pện
bởi,nhoòng
do,nhoòng
nãy,mẳn
lúc nãy,mẳn
chắc,mắn
vững,mắn
vững chắc,mắn cắn
chắc chắn,mắn táng
chắc ăn,mắn táng
vòng,queng
dính dáng,rang
dây dưa,rang
đến tận,thâng
đến bây giờ,thâng cà này
năng lực,rèng lào
của,cúa
chung,tó
ít nhiều,lai nọi
lên,khửn
có lẽ rằng,lao te
sợ rằng,lao te
đến chết,tẳm thai
hóa ra,lặc lài
té ra,lặc lài
có khi,mì bát
may ra,mì bát
lòng người,mốc slẩy
cả,luổn
tất,luổn
tất cả,luổn
tạm biệt,dặn
chào tạm biệt,dặn
chào mừng,đảy chồm
chào đón,đảy chồm
nữa,them
sống,slổng
đời sống,tơi slổng
cuộc sống,tơi slổng
sự sống,tơi slổng
đang,moòng
ý nghĩa,ý nghịa
quy củ,khửn pjên
bốc lên mặt,khửn nả
tí nào,slắc hơi
dễ dàng,ngai ngựt
dễ ợt,ngai lum
dễ làm,ngai kin
dễ ăn,ngai kin
ngon xơi,ngai kin
mơ ước,đua ước
ước mơ,đua ước
bước đến,pây mà
cần,cẩn
phiên,pan
lần,pan
chuyến,pan
lượt,pan
