tieng_viet,tieng_tay
bật lửa,phặt fay
cái bật lửa,phặt fay
bạc,ngần
tiền,ngần
tiền bạc,ngần chèn
dấm,mí
trà,xà
đường ăn,thương
nước đường,nặm thương
đường trắng,thương khao
đường phèn,thương kép
đường cát,thương sla
mật,thương nặm
muối,cưa
mỡ,pjì
chấm,chẳm
mắm,bẳm
lũng,lủng
cái chum,cang
dao,pjạ
dao sắc,pjạ cồm
dao găm,xảo xính
dao rựa,pjạ cúp
dao nhíp,pjạ cắp
dao bầu,pjạ boỏng
dao quắm,pjạ kho
dao nhọn,pja sliểm
giường,chường
ống thóc,khẩu coóc
cái ô,cưởng
chảo,héc
chảo xào rau,héc phjắc
chảo to,héc vài
gác sào,các slảo
sợi cói,khon fục
kính,nhạn khỉnh
kính mắt,nhạn khỉnh
chậu,pừn
chậu thau,pừn toòng
cái váy,quen
áo,slửa
áo hoa,slửa lài
áo tang,slửa dáo
áo cánh,slửa cỏm
áo bông,slửa mèn
áo năm thân,slửa nạp
áo đan,slửa tha thông
áo xô,slửa pán
áo vải,slửa phải
vải vóc,slửa phải
quần áo,slửa khóa
quần,khóa
ống quần,kha khóa
trang phục,slửa khóa
phục trang,slửa khóa
hàng rào,rược
trống,tổng
cổng,tu ảng
mũ,tù
cái muôi,quại
gác bếp,xá
lan can,xa làn
bao tải,xác
bao tải gạo,xác khẩu slan
con quay,xáng
cái rọ,ràm
cái rọ mõm,ràm
chén,răm
thắt lưng,rặng
kim chỉ,khêm
mũi chỉ,càm khêm
bát,pát
của cải,au cúa
vàng,kim
tã,ỏm
tã lót,ỏm
chỗ ngồi,ti năng
ghế,ti năng
quả cân,tò chăng
đũa,thú
đôi đũa,tôi thú
đuốc,tuẩy
cái cưa,tuôn
mâm,bôm
mâm đồng,bôm toòng
thòng lọng,chăng
dây,thau
dây xích,chăng
găng tay,mạt mừ
cái tăm,mạy chia
nồi,mỏ
nồi đồng,mỏ toòng
nồi gang,mỏ khang
cái chăn,piếng phà
tấm chăn,piếng phà
cái thớt,ăn khiêng
túi,tây
hoa tai,nậu xu
cái chày,slác
dây cao su,slai pinh
guốc,khuốc
dép,hài
giày,hài
cái hộp,họp
miếng giẻ,táp cháo
giẻ lau,táp cháo
miếng giẻ lau,táp cháo
vỉ ruồi,táp mèng
chiếu,fục
gậy song,tậu vai
ba toong,tậu vai
