tieng_viet,tieng_tay
học,slon
tiếng,phuối
tiếng người,hanh cần
tiếng ai,hanh cần
ăn,kin
ăn liên tục,quặp quặp
kiếm ăn,xa kin
uống,kin
về,mà
làm,hất
làm việc,hất công
làm ăn,hất chin
đi làm,hất công
cấy lúa,đăm nà
nhổ mạ,lốc chả
cày,thư thây
gặt lúa,rặt nà
trồng ngô,lồng tấy
trồng lúa,năm khẩu
vun ngô,puồn tấy
đi,pây
đi với,pây đuối
nghĩ,slưởng
nghĩ trong bụng,nẳm chang toọng
ngủ,nòn
dậy,tứn
nổi dậy,tứn dặng
nấu nướng,hung hang
nấu rượu,riêu lẩu
nấu cơm trưa,hất ngài
nấu cơm tối,hất pjầu
nướng cá,pjỉn pia
mổ,tót
mổ thịt,khả
xào rau,xẻo phjắc
xới cơm,tắc khẩu
nhổ cỏ,bai nhả
cuốc đất,bác tôm
trồng,chay
lấy,au
chơi,liểu
cưới,lẩu
rửa,dào
giặt,rjặc
quét,quyét
chăn,khun
trông,ngòi
trông trẻ,ngòi đếch
trông non,ngòi đu
tỉnh giấc,slỉnh
tỉnh,slỉnh
thức giấc,chắc mưa
bóng đè,pji dăm đé
ôm,cót
bẫy,téng
cài bẫy,hảng
đặt bẫy,hảng cắp
dắt,chung
nói,phjuối
nói to,phjuối rèng
nói chuyện,phjuối tẻn
nói tục,phuối tăn
nói láo,phuối tăn
nói ác,phuối rại
nói lắp,phuối tủng
cười,khua
sinh,sleng
sinh đẻ,sleng
mở,khay
mở cửa,khay tu
mở cổng,khay tu
bay,bân
tang,căm
cải táng,củ mả
để tang,căm
phang,tui
đánh,tức
đánh đập,tức con
đánh trống,cọn tổng
cào,quà
nằm trên,nòn tềnh
nuôi,chượng
nuôi con cái,liệng lục
quấn quýt,quẳn quẻo
hát,hết
ngáy,côn
đốt,côm
thiêu,côm
cúi,cổm
khóc,hảy
khóc lóc,hảy hổm
khóc dai,hảy lai
khóc lăn lóc,hảy lằn
khóc ma,hảy phi
hắt hơi,hắt xời
hắt xì,hắt xời
phơi,phjác
phơi quần áo,phjác slửa
phơi đồ,phjác slửa
bắc thang,các đuây
gặp,chập
gặp nhau,chập căn
hòa làm một,tò cáp
cắn,khốp
gặm,cắt
muỗi đốt,mèng khốp
ong đốt,mèng khốp
đóng gạch,toỏng cạch
ngẩng,ngử
lầu bầu,ngùm ngùm
lổm ngổm,ngùm ngùm
chệnh choạng,ngùm ngùm
bò,chàn
đeo,thư
khoe,nhắm nháy
tủm tỉm,nhẳm nhéc
kéo dài,xẻ rì
xẻ,xéc
buôn bán,puôn pản
phi,puốt
ngạt,pư
nhìn,ngòi
thấy,hăn
bỗng,nhằm nhoa
bỗng thấy,nhằm nhoa
bước đi,càm pây
nôn,rạc
mửa,rạc
đành đạch,rat rạt
giãy,slảng
tảo mộ,slại mạ
thu hoạch,slau
thu lấy,slau
rao,tô
bán,khai
quảng cáo,tô
đánh đố,tổ tạ
thách thức,tổ tạ
giật mình,tốc doan
đào,tào
bỏ bùa,tức bùa
chơi còn,tức còn
bắn,bẳn
săn bắn,tức thấu
đánh bạc,tức tỏ
khởi hành,tứn dặng
van xin,vàn lạy
kêu,roọng
quất,fạt
nghiến răng,cắt fằn
chém,fằn
bật,fặt
châm lửa,tẻm fay
dọn,tọn
dọn dẹp,fẹn fặt
lật đi,fựn
lật lại,fộc
vượt biển,khảm hải
mua,dự
kể,táng
kể chuyện,táng
trả tiền,pjá chèn
cho,hẩư
thở,au châư
thổi,hung
nhặt,íp
giết,khả
giết chóc,khả tèng
ghi nhớ,khảu slim
nghe,tinh
làm theo,tinh
nghe theo,tinh
nghe lời,khảu xu
đánh gió,noọt
võ,quền
mắng,đá
mắng nhau,tò tỉu căn
chửi,tỉu
chửi nhau,tò tỉu căn
đánh răng,xá khẻo
tìm,xa
tìm kiếm,xa
vịn,pọ
đạp,xái
giã,tăm
lò cò,xặc đạch
cà nhắc,xặc đạch
đi cà nhắc,càm xặc đạch
nhốt,xăng
nhảy,tèo
kêu gọi,roọng riệc
hô hào,roọng riệc
tuốt,rọt
gạt nước,cát nặm
tính toán,cay nái
suy tính,cay nái
tính xem,cay sló
đáng kể,cay sló
ngã,lộm
ngã quỵ,lụy mạ
giúp,pang
chạy,ni
xin lỗi,xo lội
giữ,chướng
gieo mạ,lồng chả
sờ soạng,lụ lọa
chảy,luây
lũ cuốn trôi,luây noòng
nổi,tứn
vuốt,lụp
vuốt ve,lụp lau
vơ vét,lụp lau
dụ dỗ,lụp loạp
mơn trớn,lụp loạp
chui rúc,lút loát
liếm,lùy
đi vệ sinh,pây noọc
đi đái,pây noọc
đi ỉa,pây noọc
đi lại,pây teo
chăm chú,peng
nổi lên,ngòm
nổi đầu,ngòm
yêu cầu,nái
khẩn khoản,nái
đâm,tiểm
xỉa,tiểm
điểm huyệt,tiểm mẹc
góp,tò cáp
cãi lại,tó pác
đòi,toi
đón,tỏn
đổ,tốm
phá,tốm
thắp,tẻm
soi,tẻm
chào,tuộng
xin chào,tuộng
đánh bạc,tức tỏ
tưới,tưởi
chuyển,vân
vận chuyển,vân
tự tử,vận thân
tự vẫn,vận thân
đưa nôi,vây ứ
giấu,vậy
giấu giếm,vậy
cất,chắm
bỏ lại,vẻng tả
bỏ mặc,vẻng tả
sửa soạn,chang chắp
sửa sang,chang chỉnh
chữa chạy,cháu choi
giúp đỡ,cháu choi
ngâm,chắm
dìm,chắm
nhịn,chẳn
nhẫn nhịn,chẳn
nín,chẳn
đói,dác
lườm,chằng
hầu hạ,chậư chọ
phục dịch,chậư chọ
rán,chen
giẫm,nhăm
mặc,nung
mỉa,nhăn
kháy,nhăn
chơi khăm,hết nhăn
may vá,nhặp nhọm
khâu,nhặp
nhếch mép,nhéc
xì xào,nhì nhào
thì thầm,nhì nhầm
trèo,pin
xúi giục,nhòi
khuyến khích,nhòi
mỉm,nhúm
thôi niên,ma tha
đi tất,nung mạt
niệm chú,măn
cầm,thư
nghiền,răn
đeo thắt lưng,hảng rặng
giao kết,chao kiết
lủng lẳng,lung loang
sờ sẫm,lum loem
táy máy,lum loem
sờ mó,lum lọa
làm bậy,luôn
làm bừa,luôn hết
làm liều,luôn hết
thiếp đi,lướt pây
ngăn cản,làn la
che,làn
đuổi,tẹp
vào,khảu
chừa,láp
chăm sóc,làu lị
trông nom,làu lị
gạ gẫm,láu
lừa gạt,láu
thầm mong,lặc ngoòng
về nhà,mừa rườn
cứ trồng,cuốn năm
